chain,ip,manual,old_city,old_country,new_city,new_country,confidence,distance_km,completed,globalping_id,reasons
ton,188.42.190.20,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
ton,188.241.27.209,False,Andorra la Vella,Andorra,Andorra la Vella,Andorra,approximate,0.0,True,,
ton,194.87.209.129,False,Moscow,Russia,Moscow,Russia,measured_metro,0.237,True,24UhVcCICfOwEGjAF000216iF,"coordinates differ by over 100 km: ip-api / dbip; Globalping: >=2 probe ASNs, >=3 replies each, <=3ms; approximate metro"
ton,194.87.209.239,False,Moscow,Russia,Moscow,Russia,measured_metro,0.237,True,2tbIqx5fqdKeEMDQr000216iF,"coordinates differ by over 100 km: ip-api / dbip; Globalping: >=2 probe ASNs, >=3 replies each, <=3ms; approximate metro"
ton,194.163.140.58,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,2J4RQJA7lj8jo0Eyq000216iF,country disagreement: ip-api / dbip
ton,195.154.91.103,False,Paris,France,Paris,France,approximate,0.0,True,,
ton,195.154.103.160,False,Paris,France,Paris,France,approximate,0.0,True,,
ton,195.154.103.186,False,Paris,France,Paris,France,approximate,0.0,True,,
ton,195.154.103.188,False,Paris,France,Paris,France,approximate,0.0,True,,
ton,195.154.212.44,False,Paris,France,Paris,France,approximate,0.0,True,,
ton,198.13.134.210,False,Amsterdam,Netherlands,Amsterdam,Netherlands,approximate,0.0,True,,
ton,198.13.134.211,False,Amsterdam,Netherlands,Amsterdam,Netherlands,approximate,0.0,True,,
ton,198.13.137.131,False,Frankfurt,Germany,Frankfurt,Germany,approximate,0.0,True,,
ton,204.16.242.101,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,204.16.244.77,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,204.16.245.5,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,204.16.245.164,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,204.16.247.106,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,206.223.227.171,False,Dallas,United States,Dallas,United States,approximate,0.0,True,,
ton,206.223.233.49,False,New York,United States,New York,United States,approximate,0.0,True,,
ton,206.223.236.201,False,Amsterdam,The Netherlands,Amsterdam,The Netherlands,approximate,0.0,True,,
ton,206.223.236.207,False,Amsterdam,The Netherlands,Amsterdam,The Netherlands,approximate,0.0,True,,
ton,208.91.104.163,False,Vancouver,Canada,Vancouver,Canada,approximate,0.0,True,,
ton,208.91.104.167,False,Vancouver,Canada,Vancouver,Canada,approximate,0.0,True,,
ton,208.91.104.168,False,Vancouver,Canada,Vancouver,Canada,approximate,0.0,True,,
ton,208.91.104.169,False,Vancouver,Canada,Vancouver,Canada,approximate,0.0,True,,
ton,208.91.111.239,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,208.91.111.250,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,208.91.111.251,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,208.91.111.252,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,208.91.111.253,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,208.91.111.254,False,Pittsburgh,United States,Pittsburgh,United States,approximate,0.0,True,,
ton,209.192.185.33,False,Miami,United States,Miami,United States,approximate,0.0,True,,
ton,209.250.255.171,False,Amsterdam,The Netherlands,Amsterdam,The Netherlands,approximate,0.0,True,,
ton,213.133.97.201,False,Falkenstein,Germany,Falkenstein,Germany,operator_city,0.0,True,,
ton,213.136.68.105,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,21URntTQ1HBYIh24L000216iF,country disagreement: ip-api / dbip
ton,213.136.69.55,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,2HE7qf8ZkuvCNv9DR000216iF,country disagreement: ip-api / dbip
ton,213.136.69.142,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,2lURjUG4v5umvUNRW000216iF,country disagreement: ip-api / dbip
ton,213.136.69.176,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,2VXQz8gXU7gNFeQVI000216iG,country disagreement: ip-api / dbip
ton,213.136.69.230,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,2tFLI5kqdyvkZZTZ3000216iG,country disagreement: ip-api / dbip
ton,213.136.83.246,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,2EHFPqLE8SUR5YAbM000216iF,country disagreement: ip-api / dbip
ton,213.136.84.243,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,2NtyC2htow2bo1uO0000216iG,country disagreement: ip-api / dbip
ton,216.18.202.242,False,Los Angeles,United States,Salt Lake City,United States,measured_metro,928.754,True,2C40ruDmpTU0Rz9UM000216lD,"coordinates differ by over 100 km: ip-api / dbip; coordinates differ by over 100 km: ip-api / ipwho.is; Globalping: >=2 probe ASNs, >=3 replies each, <=3ms; approximate metro"
tycho-testnet,51.178.106.245,False,Roubaix,France,Roubaix,France,approximate,0.0,True,,
tycho-testnet,57.129.53.57,False,Frankfurt am Main,Germany,Frankfurt am Main,Germany,approximate,0.0,True,,
tycho-testnet,57.129.53.58,False,Frankfurt am Main,Germany,Frankfurt am Main,Germany,approximate,0.0,True,,
tycho-testnet,57.129.53.59,False,Frankfurt am Main,Germany,Frankfurt am Main,Germany,approximate,0.0,True,,
tycho-testnet,57.129.53.60,False,Frankfurt am Main,Germany,Frankfurt am Main,Germany,approximate,0.0,True,,
tycho-testnet,57.129.53.61,False,Frankfurt am Main,Germany,Frankfurt am Main,Germany,approximate,0.0,True,,
tycho-testnet,57.129.53.62,False,Frankfurt am Main,Germany,Frankfurt am Main,Germany,approximate,0.0,True,,
tycho-testnet,57.129.53.63,False,Frankfurt am Main,Germany,Frankfurt am Main,Germany,approximate,0.0,True,,
tycho-testnet,79.137.100.30,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
tycho-testnet,79.137.100.31,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
tycho-testnet,79.137.100.33,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
tycho-testnet,79.137.100.34,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
tycho-testnet,79.137.100.38,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
tycho-testnet,79.137.100.39,False,Gravelines,France,Gravelines,France,approximate,0.0,True,,
tycho-testnet,95.165.68.62,False,Moscow,Russia,Moscow,Russia,approximate,0.0,True,,
tycho-testnet,104.238.222.200,False,Los Angeles,United States,Los Angeles,United States,approximate,0.0,True,,
tycho-testnet,178.63.165.86,False,Falkenstein,Germany,Falkenstein,Germany,disputed,0.0,False,2PEBYISo0OciflHHV000216iF,coordinates differ by over 100 km: ip-api / dbip
